"","document","topic","gamma","author","date","title","source","top_words"
"47","Donald Trump_172",1,9.24741851477241e-05,"Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate deliver remarks at a campaign event in Hershey Pennsylvania 24","The Grammar Lab","police child justice community officer black violence"
"48","Donald Trump_173",1,0.00189696000029741,"Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Wilmington Ohio SD24","The Grammar Lab","police child justice community officer black violence"
"49","Donald Trump_174",1,7.77177325989587e-05,"Donald Trump",2016-11-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Tampa Florida SD24","The Grammar Lab","police child justice community officer black violence"
"50","Donald Trump_175",1,0.0017212424679352,"Donald Trump",2016-11-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Reno Nevada 24","The Grammar Lab","police child justice community officer black violence"
"51","Donald Trump_176",1,0.000113826259223913,"Donald Trump",2016-11-06,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Sioux City Iowa SD24","The Grammar Lab","police child justice community officer black violence"
"52","Donald Trump_177",1,0.0152618053736203,"Donald Trump",2016-11-07,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Sarasota Florida","The Grammar Lab","police child justice community officer black violence"
"53","Donald Trump_178",1,8.55585543453364e-05,"Donald Trump",2016-11-07,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Raleigh North Carolina SD24","The Grammar Lab","police child justice community officer black violence"
"54","Donald Trump_179",1,0.00013062298439903,"Donald Trump",2016-11-07,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Scranton Pennsylvania","The Grammar Lab","police child justice community officer black violence"
"55","Donald Trump_180",1,0.000111114637717024,"Donald Trump",2016-11-07,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Manchester New Hampshire 24","The Grammar Lab","police child justice community officer black violence"
"56","Donald Trump_58",1,0.142123364918322,"Donald Trump",2016-07-11,"Remarks in Virginia Beach, Virginia","UCSB","police child justice community officer black violence"
"57","Donald Trump_59",1,0.000138689755389134,"Donald Trump",2016-07-16,"Remarks Introducing Governor Mike Pence as the 2016 Republican Vice Presidential Nominee in New York City","UCSB","police child justice community officer black violence"
"58","Donald Trump_60",1,0.177055371478471,"Donald Trump",2016-07-21,"Address Accepting the Presidential Nomination at the Republican National Convention in Cleveland, Ohio","UCSB","police child justice community officer black violence"
"59","Donald Trump_61",1,0.0604837870633402,"Donald Trump",2016-08-09,"Remarks at a Rally at the University of North Carolina in Wilmington","UCSB","police child justice community officer black violence"
"60","Donald Trump_62",1,0.222262971570815,"Donald Trump",2016-08-23,"Remarks at Luedecke Arena in Austin, Texas","UCSB","police child justice community officer black violence"
"61","Donald Trump_63",1,0.196632197606769,"Donald Trump",2016-08-30,"Remarks at the XFinity Arena in Everett, Washington","UCSB","police child justice community officer black violence"
"62","Donald Trump_64",1,0.582342136040366,"Donald Trump",2016-09-03,"Remarks at Great Faith International Ministries in Detroit, Michigan","UCSB","police child justice community officer black violence"
"63","Donald Trump_65",1,0.0325007636215544,"Donald Trump",2016-09-06,"Remarks at a Rally at the Greenville Convention Center in Greenville, North Carolina","UCSB","police child justice community officer black violence"
"64","Donald Trump_66",1,0.0774943241745571,"Donald Trump",2016-09-09,"Remarks to the 11th Annual Values Voter Summit in Washington, DC Omni Shoreham Hotel, Washington, D.C.","UCSB","police child justice community officer black violence"
"65","Donald Trump_67",1,0.000150758624348706,"Donald Trump",2016-09-09,"Remarks at a Rally at the Pensacola Bay Center in Pensacola, Florida","UCSB","police child justice community officer black violence"
"66","Donald Trump_68",1,0.0321067434535394,"Donald Trump",2016-09-12,"Remarks at the US Cellular Center in Asheville, North Carolina","UCSB","police child justice community officer black violence"
"67","Donald Trump_69",1,0.000185314784456994,"Donald Trump",2016-09-13,"Remarks at Seven Flags Event Center in Des Moines, Iowa","UCSB","police child justice community officer black violence"
"68","Donald Trump_70",1,0.000221133741083671,"Donald Trump",2016-09-14,"Remarks at a Rally at Canton Memorial Civic Center in Canton, Ohio","UCSB","police child justice community officer black violence"
"69","Donald Trump_71",1,0.0202315066148143,"Donald Trump",2016-09-15,"Remarks to the Economic Club of New York at the Waldorf Astoria in New York City","UCSB","police child justice community officer black violence"
"70","Donald Trump_72",1,0.0648703659139437,"Donald Trump",2016-09-16,"Remarks at a Rally at the James L. Knight Center in Miami, Florida","UCSB","police child justice community officer black violence"
"71","Donald Trump_73",1,0.005063653089051,"Donald Trump",2016-09-20,"Remarks at High Point University in High Point, North Carolina","UCSB","police child justice community officer black violence"
"72","Donald Trump_74",1,0.0232503746954211,"Donald Trump",2016-09-22,"Remarks at a Rally at Sun Center Studios in Chester Township, Pennsylvania","UCSB","police child justice community officer black violence"
"73","Donald Trump_75",1,0.0806548245574607,"Donald Trump",2016-09-22,"Remarks at the Shale Insight TM Conferencee at the David L. Lawrence Convention Center in Pittsburgh, Pennsylvania","UCSB","police child justice community officer black violence"
"74","Donald Trump_76",1,0.000162039228048004,"Donald Trump",2016-09-30,"Remarks at the Suburban Collection Showplace in Novi, Michigan","UCSB","police child justice community officer black violence"
"75","Donald Trump_77",1,0.0248431442641007,"Donald Trump",2016-10-03,"Remarks at the Budweiser Events Center in Loveland, Colorado","UCSB","police child justice community officer black violence"
"76","Donald Trump_78",1,0.00127069625898147,"Donald Trump",2016-10-04,"Remarks at Prescott Valley Event Center in Prescott Valley, Arizona","UCSB","police child justice community officer black violence"
