"","document","topic","gamma","author","date","title","source","top_words"
"100","Hillary Clinton_31",1,7.35242380887586e-05,"Hillary Clinton",2016-09-29,"Remarks at Cowles Commons in Des Moines, Iowa","UCSB","help life nuclear weapon war officer gun ally"
"101","Hillary Clinton_32",1,0.0812691916522636,"Hillary Clinton",2016-09-30,"Remarks at Coral Springs Gymnasium in Coral Springs, Florida","UCSB","help life nuclear weapon war officer gun ally"
"102","Hillary Clinton_33",1,0.220411737858772,"Hillary Clinton",2016-10-02,"Remarks at Little Rock AME Zion Church in Charlotte, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"103","Hillary Clinton_34",1,5.12127862871527e-05,"Hillary Clinton",2016-10-03,"Remarks at Martin Luther King, Jr., Plaza in Toledo, Ohio","UCSB","help life nuclear weapon war officer gun ally"
"104","Hillary Clinton_35",1,6.23473786409061e-05,"Hillary Clinton",2016-10-10,"Remarks at Ohio State University in Columbus","UCSB","help life nuclear weapon war officer gun ally"
"105","Hillary Clinton_36",1,9.50132886914221e-05,"Hillary Clinton",2016-10-11,"Remarks at the Kendall Campus of Miami Dade College in Miami, Florida","UCSB","help life nuclear weapon war officer gun ally"
"106","Hillary Clinton_37",1,7.398691659308e-05,"Hillary Clinton",2016-10-12,"Remarks at the Palace of Agriculture at the Colorado State Fairgrounds in Pueblo","UCSB","help life nuclear weapon war officer gun ally"
"107","Hillary Clinton_38",1,0.010664501707891,"Hillary Clinton",2016-10-20,"Remarks at the 71st Annual Alfred E. Smith Memorial Foundation Dinner at the Waldorf Astoria Hotel in New York City","UCSB","help life nuclear weapon war officer gun ally"
"108","Hillary Clinton_39",1,0.0672971227061334,"Hillary Clinton",2016-10-21,"Remarks at Cuyahoga Community College in Cleveland, Ohio","UCSB","help life nuclear weapon war officer gun ally"
"109","Hillary Clinton_40",1,0.0770651684864633,"Hillary Clinton",2016-10-22,"Remarks to the Press Aboard the Campaign Plane in Pittsburgh, Pennsylvania","UCSB","help life nuclear weapon war officer gun ally"
"110","Hillary Clinton_41",1,0.0011346995179595,"Hillary Clinton",2016-10-22,"Remarks at Taylor Allderdice High School in Pittsburgh, Pennsylvania","UCSB","help life nuclear weapon war officer gun ally"
"111","Hillary Clinton_42",1,0.0297941016024842,"Hillary Clinton",2016-10-25,"Remarks at Broward College's North Campus in Coconut Creek, Florida","UCSB","help life nuclear weapon war officer gun ally"
"112","Hillary Clinton_43",1,0.00701261730076212,"Hillary Clinton",2016-10-27,"Remarks at Wake Forest University in Winston-Salem, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
