"","author_speech_id","author","date","title","source"
"84","Donald Trump_91","Donald Trump",2016-10-23,"Remarks at the Collier County Fairgrounds in Naples, Florida","UCSB"
"85","Donald Trump_92","Donald Trump",2016-10-26,"Remarks at McGlohon Theatre at Spirit Square in Charlotte, North Carolina","UCSB"
"86","Donald Trump_93","Donald Trump",2016-10-29,"Remarks at the Jeffco Fairgrounds Event Center in Golden, Colorado","UCSB"
"87","Donald Trump_94","Donald Trump",2016-10-29,"Remarks at the Phoenix Convention Center in Phoenix, Arizona","UCSB"
"88","Donald Trump_95","Donald Trump",2016-10-31,"Remarks at Macomb Community College South Campus in Warren, Michigan","UCSB"
"89","Donald Trump_96","Donald Trump",2016-11-01,"Remarks on Obamacare in Valley Forge, Pennsylvania","UCSB"
"90","Donald Trump_97","Donald Trump",2016-11-02,"Remarks at the Central Florida Fairgrounds in Orlando, Florida","UCSB"
"91","Donald Trump_98","Donald Trump",2016-11-02,"Remarks at the Bayfront Park Amphitheater in Miami, Florida","UCSB"
"92","Donald Trump_99","Donald Trump",2016-11-07,"Remarks at J.S Dorton Arena in Raleigh, North Carolina","UCSB"
"93","Hillary Clinton_101","Hillary Clinton",2016-08-01,"Hillary Clinton D Presidential Candidate Remarks at Rally in Omaha NE","The Grammar Lab"
"94","Hillary Clinton_102","Hillary Clinton",2016-08-05,"Hillary Clinton delivers remarks at the National Association of Black Journalists and the National Association of Hispanic Journalists joint convention SD","The Grammar Lab"
"95","Hillary Clinton_103","Hillary Clinton",2016-08-10,"Hillary Clinton holds a campaign rally in Des Moines Iowa SD","The Grammar Lab"
"96","Hillary Clinton_104","Hillary Clinton",2016-08-15,"Hillary Clinton Democratic Presidential Candidate delivers remarks with Vice President Joe Biden in Scranton Pennsylvania SD","The Grammar Lab"
"97","Hillary Clinton_105","Hillary Clinton",2016-08-16,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Philadelphia PA SD","The Grammar Lab"
"98","Hillary Clinton_106","Hillary Clinton",2016-08-17,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Cleveland Ohio SD","The Grammar Lab"
"99","Hillary Clinton_107","Hillary Clinton",2016-09-05,"Hillary Rodham Clinton Democratic Presidential Candidate And Sen Tim Kaine Vice Presidential Candidate Deliver Remarks","The Grammar Lab"
"100","Hillary Clinton_108","Hillary Clinton",2016-09-05,"Former Secretary Of State Hillary Rodham Clinton Democratic Presidential Candidate Delivers Remarks At The 49th Annual Salute To Labor","The Grammar Lab"
"101","Hillary Clinton_109","Hillary Clinton",2016-09-06,"former Secretary of State Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event","The Grammar Lab"
"102","Hillary Clinton_110","Hillary Clinton",2016-09-08,"former Secretary of State Hillary Rodham Clinton Democratic presidential candidate holds a news conference","The Grammar Lab"
"103","Hillary Clinton_111","Hillary Clinton",2016-09-29,"Hillary Rodham Clinton Democratic Presidential Candidate holds a media availability","The Grammar Lab"
"104","Hillary Clinton_112","Hillary Clinton",2016-10-31,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Kent Ohio","The Grammar Lab"
"105","Hillary Clinton_113","Hillary Clinton",2016-10-31,"Hillary Clinton delivers remarks at a campaign event in Cincinnati Ohio","The Grammar Lab"
"106","Hillary Clinton_114","Hillary Clinton",2016-11-01,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Dade City Florida","The Grammar Lab"
"107","Hillary Clinton_115","Hillary Clinton",2016-11-01,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Fort Lauderdale Florida","The Grammar Lab"
"108","Hillary Clinton_116","Hillary Clinton",2016-11-04,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Pittsburgh Pennsylvania SD24","The Grammar Lab"
"109","Hillary Clinton_117","Hillary Clinton",2016-11-04,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Detroit Michigan 24","The Grammar Lab"
"110","Hillary Clinton_118","Hillary Clinton",2016-11-05,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in South Florida SD24","The Grammar Lab"
